Feature,Importance
vendor,0.35884676623873457
amount,0.14768073935283627
amount_difference,0.1245619939366213
is_night,0.07196075328557683
device_type,0.05861570401758714
hour,0.0502774029508419
previous_transactions,0.04534285894062404
high_amount,0.04087981249904188
average_amount,0.036713076903822785
payment_method,0.017452440003258556
location,0.01683871491466681
transaction_type,0.01537585399466812
frequent_customer,0.006890762912766209
merchant_category,0.006275191781244633
is_weekend,0.002287928267709047
